Timestamp,Rate your musical knowledge and expertise,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?
2019/05/13 12:00:18 PM GMT+2,1,4,3,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2019/05/13 11:38:40 AM GMT+2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2019/05/13 12:25:17 PM GMT+2,3,5,2,5,3,5,2,5,2,5,2,5,2,5,2,5,2,5,3,5,3,5,3,5,3,5,2,5,2,5,3,5,2,5,4,5,3,5,2,5,3
2019/05/13 2:18:16 PM GMT+2,1,5,3,5,2,5,3,5,4,5,3,5,2,5,3,5,2,5,3,5,2,5,3,5,2,5,1,5,1,5,3,5,2,5,2,5,3,5,3,5,2
2019/05/13 2:50:38 PM GMT+2,1,3,4,4,4,4,3,2,3,4,3,4,3,3,3,2,3,3,4,2,2,4,1,4,4,4,3,3,2,4,4,2,3,4,3,4,4,2,3,2,3
2019/05/13 2:52:35 PM GMT+2,1,2,3,4,4,3,3,5,4,4,4,2,2,3,4,3,4,5,4,5,3,4,3,4,3,5,3,2,4,4,5,4,5,5,4,5,4,5,3,3,3
2019/05/13 3:33:17 PM GMT+2,0,2,3,4,3,5,2,4,2,2,4,2,2,4,2,3,2,4,2,2,3,3,4,3,4,2,4,2,2,4,4,2,2,4,2,3,2,3,2,1,4
2019/05/13 6:31:03 PM GMT+2,1,3,2,4,4,4,3,4,4,4,4,4,2,3,3,3,2,4,4,4,3,3,4,4,3,3,3,3,3,3,4,2,2,3,3,3,2,3,3,3,2
2019/05/13 6:38:41 PM GMT+2,4,4,2,5,4,4,1,5,2,4,2,4,2,3,2,4,1,5,5,3,1,5,3,2,2,3,2,3,1,5,5,3,2,5,4,5,3,3,1,3,1
2019/05/13 7:00:36 PM GMT+2,3,3,3,5,4,5,2,4,4,5,3,5,2,5,3,5,4,5,4,5,4,5,5,5,5,5,4,4,5,5,3,5,5,5,5,5,5,4,2,5,4
